# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
nm,    0x1d193, ,       ,                                  "musical symbol decrescendo"
nm,    0x1d194, ,       ,                                  "musical symbol grace note slash"
nm,    0x1d195, ,       ,                                  "musical symbol grace note no slash"
nm,    0x1d196, ,       ,                                  "musical symbol tr"
nm,    0x1d197, ,       ,                                  "musical symbol turn"
nm,    0x1d198, ,       ,                                  "musical symbol inverted turn"
nm,    0x1d199, ,       ,                                  "musical symbol turn slash"
nm,    0x1d19a, ,       ,                                  "musical symbol turn up"
nm,    0x1d19b, ,       ,                                  "musical symbol ornament stroke-1"
nm,    0x1d19c, ,       ,                                  "musical symbol ornament stroke-2"
nm,    0x1d19d, ,       ,                                  "musical symbol ornament stroke-3"
nm,    0x1d19e, ,       ,                                  "musical symbol ornament stroke-4"
nm,    0x1d19f, ,       ,                                  "musical symbol ornament stroke-5"
nm,    0x1d1a0, ,       ,                                  "musical symbol ornament stroke-6"
nm,    0x1d1a1, ,       ,                                  "musical symbol ornament stroke-7"
nm,    0x1d1a2, ,       ,                                  "musical symbol ornament stroke-8"
nm,    0x1d1a3, ,       ,                                  "musical symbol ornament stroke-9"
nm,    0x1d1a4, ,       ,                                  "musical symbol ornament stroke-10"
nm,    0x1d1a5, ,       ,                                  "musical symbol ornament stroke-11"
nm,    0x1d1a6, ,       ,                                  "musical symbol hauptstimme"
nm,    0x1d1a7, ,       ,                                  "musical symbol nebenstimme"
nm,    0x1d1a8, ,       ,                                  "musical symbol end of stimme"
nm,    0x1d1a9, ,       ,                                  "musical symbol degree slash"
nm,    0x1d1aa, ,       ,                                  "musical symbol combining down bow"
nm,    0x1d1ab, ,       ,                                  "musical symbol combining up bow"
nm,    0x1d1ac, ,       ,                                  "musical symbol combining harmonic"
nm,    0x1d1ad, ,       ,                                  "musical symbol combining snap pizzicato"
nm,    0x1d1ae, ,       ,                                  "musical symbol pedal mark"
nm,    0x1d1af, ,       ,                                  "musical symbol pedal up mark"
nm,    0x1d1b0, ,       ,                                  "musical symbol half pedal mark"
nm,    0x1d1b1, ,       ,                                  "musical symbol glissando up"
nm,    0x1d1b2, ,       ,                                  "musical symbol glissando down"
nm,    0x1d1b3, ,       ,                                  "musical symbol with fingernails"
nm,    0x1d1b4, ,       ,                                  "musical symbol damp"
nm,    0x1d1b5, ,       ,                                  "musical symbol damp all"
nm,    0x1d1b6, ,       ,                                  "musical symbol maxima"
nm,    0x1d1b7, ,       ,                                  "musical symbol longa"
nm,    0x1d1b8, ,       ,                                  "musical symbol brevis"
nm,    0x1d1b9, ,       ,                                  "musical symbol semibrevis white"
nm,    0x1d1ba, ,       ,                                  "musical symbol semibrevis black"
nm,    0x1d1bb, ,       ,                                  "musical symbol minima"
nm,    0x1d1bc, ,       ,                                  "musical symbol minima black"
nm,    0x1d1bd, ,       ,                                  "musical symbol semiminima white"
nm,    0x1d1be, ,       ,                                  "musical symbol semiminima black"
nm,    0x1d1bf, ,       ,                                  "musical symbol fusa white"
nm,    0x1d1c0, ,       ,                                  "musical symbol fusa black"
nm,    0x1d1c1, ,       ,                                  "musical symbol longa perfecta rest"
nm,    0x1d1c2, ,       ,                                  "musical symbol longa imperfecta rest"
nm,    0x1d1c3, ,       ,                                  "musical symbol brevis rest"
nm,    0x1d1c4, ,       ,                                  "musical symbol semibrevis rest"
nm,    0x1d1c5, ,       ,                                  "musical symbol minima rest"
nm,    0x1d1c6, ,       ,                                  "musical symbol semiminima rest"
nm,    0x1d1c7, ,       ,                                  "musical symbol tempus perfectum cum prolatione perfecta"
nm,    0x1d1c8, ,       ,                                  "musical symbol tempus perfectum cum prolatione imperfecta"
nm,    0x1d1c9, ,       ,                                  "musical symbol tempus perfectum cum prolatione perfecta diminution-1"
nm,    0x1d1ca, ,       ,                                  "musical symbol tempus imperfectum cum prolatione perfecta"
nm,    0x1d1cb, ,       ,                                  "musical symbol tempus imperfectum cum prolatione imperfecta"
nm,    0x1d1cc, ,       ,                                  "musical symbol tempus imperfectum cum prolatione imperfecta diminution-1"
nm,    0x1d1cd, ,       ,                                  "musical symbol tempus imperfectum cum prolatione imperfecta diminution-2"
nm,    0x1d1ce, ,       ,                                  "musical symbol tempus imperfectum cum prolatione imperfecta diminution-3"
nm,    0x1d1cf, ,       ,                                  "musical symbol croix"
nm,    0x1d1d0, ,       ,                                  "musical symbol gregorian c clef"
nm,    0x1d1d1, ,       ,                                  "musical symbol gregorian f clef"
